x1,x2,x3
3636954.99,214430.94,-16.11
3636954.82,214431.4,-16.13
3636954.63,214431.93,-16.07
3636954.51,214432.31,-16.03
3636954.37,214432.76,-16.01
3636954.23,214433.23,-16
3636954.07,214433.77,-16.02
3636953.96,214434.15,-15.99
3636953.85,214434.62,-15.97
3636953.72,214435.07,-15.94
3636953.56,214435.62,-15.91
3636953.45,214435.99,-15.9
3636953.32,214436.46,-15.89
3636953.2,214436.91,-15.91
3636953.05,214437.44,-15.91
3636952.94,214437.81,-15.94
3636952.81,214438.26,-15.92
3636952.67,214438.7,-15.88
3636952.5,214439.22,-15.85
3636952.38,214439.58,-15.84
3636952.23,214440.01,-15.85
3636952.07,214440.45,-15.88
3636951.88,214440.94,-15.89
3636951.75,214441.28,-15.9
3636951.58,214441.7,-15.88
3636951.39,214442.1,-15.85
3636951.17,214442.58,-15.88
3636951.02,214442.92,-15.87
3636950.82,214443.32,-15.87
3636950.64,214443.72,-15.87
3636950.42,214444.18,-15.83
3636950.27,214444.5,-15.85
3636950.07,214444.89,-15.88
3636949.88,214445.27,-15.85
3636949.66,214445.73,-15.8
3636949.51,214446.04,-15.77
3636949.31,214446.42,-15.79
3636949.12,214446.8,-15.82
3636948.9,214447.25,-15.83
3636948.76,214447.55,-15.84
3636948.57,214447.94,-15.83
3636948.36,214448.31,-15.81
3636948.13,214448.75,-15.8
3636947.98,214449.07,-15.81
3636947.8,214449.45,-15.81
3636947.61,214449.85,-15.79
3636947.39,214450.3,-15.74
3636947.23,214450.62,-15.76
3636947.04,214451,-15.76
3636946.86,214451.38,-15.7
3636946.65,214451.87,-15.65
3636946.51,214452.21,-15.64
3636946.34,214452.62,-15.64
3636946.18,214453.03,-15.66
3636945.99,214453.53,-15.67
3636945.85,214453.88,-15.73
3636945.71,214454.33,-15.76
3636945.56,214454.79,-15.75
3636945.38,214455.3,-15.74
3636945.25,214455.65,-15.74
3636945.09,214456.08,-15.71
3636944.93,214456.51,-15.66
3636944.74,214457.03,-15.68
3636944.61,214457.38,-15.69
3636944.45,214457.82,-15.67
3636944.3,214458.27,-15.68
3636944.12,214458.8,-15.7
3636943.99,214459.16,-15.66
3636943.83,214459.6,-15.63
3636943.67,214460.05,-15.64
3636943.49,214460.56,-15.66
3636943.36,214460.93,-15.66
3636943.21,214461.36,-15.66
3636943.05,214461.82,-15.69
3636942.85,214462.35,-15.67
3636942.71,214462.7,-15.61
3636942.55,214463.16,-15.56
3636942.39,214463.59,-15.55
3636942.18,214464.12,-15.56
3636942.04,214464.48,-15.6
3636941.88,214464.91,-15.62
3636941.71,214465.36,-15.62
3636941.5,214465.88,-15.6
3636941.35,214466.23,-15.57
3636941.18,214466.67,-15.55
3636941,214467.1,-15.56
3636940.79,214467.61,-15.58
3636940.64,214467.96,-15.54
3636940.46,214468.39,-15.48
3636940.28,214468.83,-15.49
3636940.07,214469.34,-15.52
3636939.92,214469.68,-15.53
3636939.76,214470.13,-15.5
3636939.59,214470.56,-15.5
3636939.38,214471.07,-15.5
3636939.23,214471.41,-15.5
3636939.05,214471.85,-15.5
3636938.87,214472.29,-15.48
3636938.69,214472.82,-15.47
3636938.56,214473.19,-15.46
3636938.4,214473.63,-15.45
3636938.24,214474.08,-15.45
3636938.06,214474.61,-15.46
3636937.95,214474.98,-15.45
3636937.8,214475.45,-15.42
3636937.64,214475.92,-15.43
3636937.46,214476.47,-15.4
3636937.34,214476.84,-15.4
3636937.17,214477.31,-15.43
3636937.02,214477.79,-15.44
3636936.83,214478.33,-15.42
3636936.7,214478.7,-15.37
3636936.54,214479.17,-15.37
3636936.39,214479.64,-15.38
3636936.21,214480.21,-15.38
3636936.07,214480.59,-15.37
3636935.91,214481.05,-15.37
3636935.75,214481.53,-15.37
3636935.56,214482.07,-15.37
3636935.43,214482.45,-15.36
3636935.27,214482.92,-15.39
3636935.12,214483.38,-15.43
3636934.93,214483.91,-15.43
3636934.8,214484.28,-15.41
3636934.63,214484.72,-15.39
3636934.47,214485.14,-15.36
3636934.27,214485.66,-15.36
3636934.13,214486.02,-15.38
3636933.95,214486.45,-15.4
3636933.77,214486.87,-15.41
3636933.54,214487.37,-15.4
3636933.38,214487.7,-15.38
3636933.27,214487.93,-15.37
3636933.12,214488.25,-15.36
3636933.02,214488.46,-15.38
3636932.85,214488.81,-15.39
3636932.61,214489.3,-15.39
3636932.44,214489.62,-15.35
3636932.23,214490.02,-15.31
3636932.01,214490.42,-15.31
3636931.78,214490.88,-15.35
3636931.61,214491.23,-15.38
3636931.4,214491.63,-15.37
3636931.2,214492.03,-15.36
3636930.96,214492.5,-15.33
3636930.78,214492.82,-15.32
3636930.59,214493.22,-15.32
3636930.41,214493.61,-15.31
