x1,x2,x3
3636735.92,214367.57,-15.42
3636735.57,214367.96,-15.45
3636735.22,214368.34,-15.5
3636734.79,214368.8,-15.53
3636734.5,214369.12,-15.54
3636734.14,214369.51,-15.53
3636733.75,214369.88,-15.52
3636733.33,214370.32,-15.5
3636733.02,214370.64,-15.49
3636732.66,214371,-15.45
3636732.28,214371.38,-15.41
3636731.85,214371.81,-15.4
3636731.52,214372.13,-15.4
3636731.14,214372.5,-15.4
3636730.77,214372.88,-15.4
3636730.34,214373.3,-15.39
3636730.04,214373.59,-15.42
3636729.66,214373.96,-15.41
3636729.28,214374.34,-15.38
3636728.85,214374.79,-15.35
3636728.54,214375.1,-15.32
3636728.16,214375.49,-15.33
3636727.8,214375.87,-15.3
3636727.35,214376.33,-15.27
3636727.06,214376.63,-15.28
3636726.67,214377.02,-15.32
3636726.3,214377.39,-15.34
3636725.86,214377.84,-15.32
3636725.54,214378.15,-15.28
3636725.16,214378.52,-15.25
3636724.77,214378.9,-15.23
3636724.34,214379.32,-15.24
3636724.03,214379.62,-15.25
3636723.66,214379.97,-15.25
3636723.28,214380.34,-15.26
3636722.82,214380.77,-15.28
3636722.5,214381.05,-15.28
3636722.09,214381.39,-15.27
3636721.7,214381.71,-15.23
3636721.48,214381.9,-15.22
3636721.1,214382.23,-15.24
3636720.89,214382.41,-15.25
3636720.64,214382.63,-15.25
3636720.25,214382.93,-15.26
3636719.86,214383.23,-15.27
3636719.37,214383.58,-15.27
3636719.04,214383.83,-15.25
3636718.66,214384.12,-15.22
3636718.27,214384.42,-15.23
3636717.81,214384.79,-15.25
3636717.48,214385.04,-15.23
3636717.1,214385.33,-15.21
3636716.71,214385.63,-15.21
3636716.27,214386,-15.2
3636715.96,214386.26,-15.19
3636715.59,214386.58,-15.15
3636715.22,214386.89,-15.1
3636714.79,214387.28,-15.09
3636714.5,214387.53,-15.08
3636714.14,214387.86,-15.07
3636713.77,214388.15,-15.06
3636713.35,214388.51,-15.07
3636713.07,214388.76,-15.11
3636712.72,214389.04,-15.12
3636712.36,214389.33,-15.09
3636711.94,214389.65,-15.08
3636711.64,214389.86,-15.09
3636711.27,214390.1,-15.09
3636710.89,214390.33,-15.05
3636710.42,214390.58,-15.04
3636710.11,214390.74,-15.04
3636709.71,214390.93,-15.06
3636709.32,214391.09,-15.07
3636708.84,214391.29,-15.08
3636708.5,214391.43,-15.1
3636708.09,214391.6,-15.1
3636707.68,214391.77,-15.07
3636707.21,214391.96,-15.08
3636706.89,214392.11,-15.12
3636706.49,214392.31,-15.15
3636706.1,214392.51,-15.16
3636705.66,214392.77,-15.16
3636705.38,214392.96,-15.13
3636705.02,214393.2,-15.1
3636704.67,214393.45,-15.11
3636704.27,214393.75,-15.09
3636704.01,214393.97,-15.1
3636703.69,214394.24,-15.12
3636703.38,214394.53,-15.12
3636703.03,214394.88,-15.14
3636702.79,214395.13,-15.11
3636702.48,214395.45,-15.09
3636702.17,214395.76,-15.09
3636701.82,214396.12,-15.07
3636701.61,214396.35,-15.06
3636701.34,214396.66,-15.06
3636701.06,214396.96,-15
3636700.73,214397.31,-14.97
3636700.5,214397.56,-14.96
3636700.21,214397.86,-14.96
3636699.92,214398.16,-14.98
3636699.57,214398.52,-14.98
3636699.34,214398.75,-14.99
3636699.03,214399.05,-14.98
3636698.72,214399.36,-15
3636698.38,214399.69,-15.02
3636698.13,214399.94,-15.02
3636697.82,214400.26,-15.01
3636697.54,214400.57,-15.04
3636697.2,214400.94,-15.07
3636696.96,214401.19,-15.07
3636696.68,214401.51,-15.1
3636696.41,214401.83,-15.12
3636696.07,214402.19,-15.14
3636695.85,214402.48,-15.14
3636695.61,214402.82,-15.13
3636695.38,214403.16,-15.13
3636695.13,214403.57,-15.1
3636694.95,214403.86,-15.08
3636694.75,214404.22,-15.1
3636694.55,214404.58,-15.1
3636694.33,214405.01,-15.08
3636694.2,214405.32,-15.05
3636694.05,214405.7,-15.06
3636693.93,214406.09,-15.05
3636693.78,214406.55,-15.06
3636693.67,214406.87,-15.06
3636693.55,214407.27,-15.06
3636693.44,214407.68,-15.04
3636693.31,214408.16,-15.02
3636693.24,214408.49,-15.04
3636693.13,214408.89,-15.02
3636693.02,214409.29,-15.01
3636692.9,214409.76,-14.98
3636692.82,214410.08,-14.95
3636692.72,214410.49,-14.97
3636692.63,214410.9,-15
3636692.52,214411.37,-15.02
3636692.43,214411.7,-15.03
3636692.33,214412.11,-15.03
3636692.23,214412.52,-15.03
3636692.11,214412.99,-15
3636692.03,214413.32,-14.94
3636691.93,214413.73,-14.91
3636691.81,214414.13,-14.92
3636691.69,214414.61,-14.95
3636691.61,214414.96,-14.95
3636691.52,214415.4,-14.97
3636691.43,214415.82,-15.02
3636691.3,214416.3,-15.04
3636691.22,214416.66,-15.03
3636691.12,214417.08,-15
3636691.03,214417.5,-14.97
3636690.94,214418.02,-14.96
3636690.87,214418.39,-14.95
3636690.79,214418.83,-14.95
3636690.7,214419.26,-14.97
3636690.6,214419.78,-15.01
3636690.54,214420.16,-15
3636690.48,214420.62,-14.99
3636690.43,214421.08,-14.99
3636690.35,214421.61,-15
3636690.31,214421.99,-15.01
3636690.26,214422.45,-14.94
3636690.21,214422.9,-14.9
3636690.15,214423.44,-14.89
3636690.11,214423.82,-14.88
3636690.06,214424.28,-14.89
3636690.02,214424.72,-14.89
3636689.96,214425.3,-14.89
3636689.92,214425.68,-14.89
3636689.87,214426.15,-14.87
3636689.81,214426.62,-14.85
3636689.73,214427.18,-14.85
3636689.68,214427.57,-14.86
3636689.61,214428.05,-14.9
3636689.53,214428.53,-14.95
3636689.43,214429.09,-14.94
3636689.34,214429.49,-14.91
3636689.24,214429.97,-14.87
3636689.15,214430.44,-14.84
3636689.02,214431.01,-14.84
3636688.93,214431.41,-14.84
3636688.83,214431.9,-14.82
3636688.71,214432.38,-14.81
3636688.55,214432.95,-14.82
3636688.44,214433.32,-14.85
3636688.32,214433.81,-14.89
3636688.19,214434.3,-14.92
3636688.03,214434.87,-14.91
3636687.92,214435.27,-14.92
3636687.78,214435.75,-14.93
3636687.62,214436.24,-14.89
3636687.44,214436.83,-14.83
3636687.33,214437.25,-14.85
3636687.18,214437.74,-14.83
3636687.01,214438.23,-14.81
3636686.82,214438.81,-14.8
3636686.68,214439.22,-14.82
3636686.52,214439.71,-14.81
3636686.35,214440.22,-14.75
3636686.15,214440.82,-14.72
3636686.01,214441.23,-14.72
3636685.83,214441.73,-14.71
3636685.65,214442.23,-14.69
3636685.44,214442.84,-14.67
3636685.28,214443.26,-14.64
3636685.09,214443.77,-14.63
3636684.9,214444.27,-14.63
3636684.66,214444.87,-14.61
3636684.5,214445.27,-14.6
3636684.29,214445.77,-14.61
3636684.08,214446.27,-14.63
3636683.83,214446.87,-14.62
3636683.65,214447.28,-14.62
3636683.42,214447.77,-14.62
3636683.18,214448.26,-14.62
3636682.91,214448.83,-14.62
3636682.72,214449.22,-14.62
3636682.47,214449.7,-14.6
3636682.22,214450.18,-14.59
3636681.93,214450.75,-14.59
3636681.73,214451.13,-14.59
3636681.47,214451.6,-14.59
3636681.2,214452.09,-14.57
3636680.89,214452.65,-14.56
3636680.68,214453.03,-14.55
3636680.41,214453.51,-14.54
3636680.14,214453.98,-14.53
3636679.83,214454.53,-14.52
3636679.61,214454.92,-14.52
3636679.33,214455.38,-14.52
3636679.06,214455.83,-14.52
3636678.74,214456.39,-14.51
3636678.52,214456.77,-14.49
3636678.25,214457.23,-14.47
3636677.99,214457.69,-14.46
3636677.69,214458.23,-14.48
3636677.47,214458.63,-14.5
3636677.21,214459.09,-14.51
3636676.94,214459.56,-14.51
3636676.64,214460.09,-14.51
3636676.43,214460.46,-14.52
3636676.17,214460.91,-14.51
3636675.92,214461.37,-14.48
3636675.62,214461.9,-14.48
3636675.4,214462.28,-14.49
3636675.14,214462.73,-14.47
3636674.88,214463.17,-14.45
3636674.57,214463.69,-14.45
3636674.35,214464.06,-14.47
3636674.09,214464.49,-14.49
3636673.82,214464.91,-14.48
3636673.52,214465.4,-14.46
3636673.3,214465.76,-14.43
3636673.03,214466.18,-14.4
3636672.76,214466.6,-14.41
3636672.44,214467.07,-14.42
3636672.21,214467.4,-14.43
3636671.95,214467.79,-14.44
3636671.68,214468.2,-14.45
3636671.52,214468.42,-14.45
3636671.25,214468.79,-14.46
3636671.1,214469,-14.43
3636670.93,214469.25,-14.39
3636670.66,214469.63,-14.39
3636670.38,214470,-14.38
3636670.04,214470.44,-14.38
3636669.81,214470.74,-14.39
3636669.53,214471.12,-14.4
3636669.24,214471.5,-14.41
3636668.9,214471.96,-14.43
3636668.67,214472.28,-14.45
3636668.39,214472.69,-14.45
3636668.13,214473.08,-14.43
3636667.82,214473.55,-14.42
3636667.61,214473.89,-14.38
3636667.35,214474.29,-14.35
3636667.09,214474.69,-14.35
3636666.79,214475.19,-14.38
3636666.6,214475.52,-14.37
3636666.35,214475.94,-14.35
3636666.12,214476.36,-14.35
3636665.84,214476.84,-14.32
3636665.65,214477.19,-14.29
3636665.43,214477.61,-14.28
3636665.21,214478.03,-14.3
3636664.94,214478.52,-14.33
3636664.76,214478.86,-14.35
3636664.54,214479.26,-14.38
3636664.3,214479.65,-14.35
3636664.03,214480.12,-14.31
3636663.84,214480.44,-14.32
3636663.61,214480.83,-14.35
3636663.37,214481.22,-14.38
3636663.07,214481.68,-14.37
3636662.87,214482,-14.37
3636662.63,214482.36,-14.39
3636662.39,214482.74,-14.38
3636662.11,214483.18,-14.37
3636661.92,214483.5,-14.37
3636661.7,214483.87,-14.39
3636661.47,214484.25,-14.41
3636661.19,214484.71,-14.44
3636661,214485.02,-14.44
3636660.78,214485.39,-14.43
3636660.55,214485.78,-14.42
3636660.28,214486.24,-14.45
3636660.08,214486.56,-14.47
3636659.85,214486.96,-14.42
3636659.64,214487.34,-14.36
3636659.4,214487.81,-14.33
3636659.23,214488.14,-14.34
3636658.98,214488.57,-14.34
3636658.76,214488.98,-14.34
3636658.53,214489.45,-14.34
3636658.37,214489.79,-14.34
3636658.19,214490.2,-14.34
3636658,214490.63,-14.34
3636657.76,214491.13,-14.35
3636657.6,214491.47,-14.34
3636657.4,214491.87,-14.34
3636657.2,214492.28,-14.34
3636656.97,214492.77,-14.35
3636656.82,214493.1,-14.35
3636656.63,214493.52,-14.35
3636656.43,214493.93,-14.35
3636656.21,214494.43,-14.35
3636656.05,214494.77,-14.34
3636655.84,214495.2,-14.36
3636655.65,214495.62,-14.35
3636655.43,214496.12,-14.33
3636655.29,214496.47,-14.34
3636655.07,214496.89,-14.34
3636654.85,214497.31,-14.32
3636654.6,214497.84,-14.3
3636654.43,214498.18,-14.3
3636654.22,214498.6,-14.29
3636654.01,214499.03,-14.29
3636653.75,214499.53,-14.28
3636653.57,214499.87,-14.28
3636653.36,214500.3,-14.29
3636653.16,214500.72,-14.29
3636652.91,214501.24,-14.25
3636652.75,214501.58,-14.22
3636652.55,214502,-14.22
3636652.34,214502.44,-14.23
3636652.09,214502.94,-14.23
3636651.9,214503.31,-14.23
3636651.67,214503.74,-14.24
3636651.45,214504.19,-14.24
3636651.2,214504.72,-14.23
3636651.03,214505.09,-14.21
3636650.8,214505.55,-14.18
3636650.56,214506.01,-14.17
3636650.28,214506.55,-14.17
3636650.08,214506.93,-14.17
3636649.83,214507.4,-14.17
3636649.59,214507.87,-14.17
3636649.3,214508.42,-14.15
3636649.09,214508.8,-14.15
3636648.83,214509.27,-14.14
3636648.57,214509.75,-14.11
3636648.26,214510.32,-14.11
3636648.05,214510.73,-14.1
3636647.8,214511.23,-14.12
3636647.55,214511.73,-14.11
3636647.25,214512.31,-14.11
3636647.03,214512.73,-14.09
3636646.78,214513.23,-14.05
3636646.53,214513.77,-14.05
3636646.25,214514.42,-14.07
3636646.04,214514.85,-14.05
3636645.79,214515.38,-14.05
3636645.53,214515.94,-14.05
3636645.24,214516.58,-14.05
3636645.03,214517.03,-14.07
3636644.77,214517.59,-14.06
3636644.52,214518.14,-14.08
3636644.22,214518.82,-14.14
3636644,214519.29,-14.17
3636643.74,214519.85,-14.13
3636643.47,214520.42,-14.09
3636643.16,214521.05,-14.09
3636642.94,214521.51,-14.06
3636642.66,214522.06,-14.05
3636642.4,214522.65,-14.04
3636642.09,214523.32,-14.01
3636641.86,214523.77,-14.02
3636641.59,214524.33,-14.05
3636641.33,214524.86,-14.04
3636641.03,214525.54,-14
3636640.82,214525.98,-13.96
3636640.54,214526.54,-13.95
3636640.28,214527.09,-13.93
3636639.96,214527.74,-13.92
3636639.73,214528.19,-13.93
3636639.47,214528.71,-13.96
3636639.2,214529.22,-13.96
3636638.88,214529.82,-13.95
3636638.66,214530.23,-13.94
3636638.39,214530.74,-13.95
3636638.11,214531.21,-13.94
3636637.78,214531.79,-13.91
3636637.55,214532.19,-13.9
3636637.27,214532.65,-13.92
3636636.99,214533.12,-13.97
3636636.67,214533.65,-13.99
3636636.44,214534.01,-13.98
3636636.16,214534.46,-13.99
3636635.89,214534.88,-14.01
3636635.56,214535.41,-14.05
3636635.34,214535.76,-14.07
3636635.07,214536.18,-14.08
3636634.79,214536.62,-14.05
3636634.48,214537.13,-14.04
3636634.27,214537.47,-14.04
3636634.01,214537.89,-14.02
3636633.74,214538.31,-14.04
3636633.43,214538.8,-14.09
3636633.22,214539.15,-14.08
3636632.96,214539.57,-14
3636632.71,214540,-14
3636632.42,214540.49,-14.03
3636632.22,214540.83,-14.05
3636631.98,214541.22,-14.02
3636631.75,214541.61,-13.98
3636631.48,214542.09,-13.94
3636631.27,214542.41,-13.9
3636631.03,214542.8,-13.9
3636630.79,214543.18,-13.9
3636630.5,214543.63,-13.91
